f:\Desktop\University\Exeter\ECMM451 Final Year Project\Final_Year_Project\maze_env\envs\mazelib.py:32: DeprecationWarning: Seeding based on hashing is deprecated
since Python 3.9 and will be removed in a subsequent version. The only
supported seed types are: None, int, float, str, bytes, and bytearray.
  random.seed(seed)
f:\Desktop\University\Exeter\ECMM451 Final Year Project\Final_Year_Project\maze_env\envs\mazelib.py:32: DeprecationWarning: Seeding based on hashing is deprecated
since Python 3.9 and will be removed in a subsequent version. The only
supported seed types are: None, int, float, str, bytes, and bytearray.
  random.seed(seed)
f:\Desktop\University\Exeter\ECMM451 Final Year Project\Final_Year_Project\maze_env\envs\mazelib.py:32: DeprecationWarning: Seeding based on hashing is deprecated
since Python 3.9 and will be removed in a subsequent version. The only
supported seed types are: None, int, float, str, bytes, and bytearray.
  random.seed(seed)
Evaluation Reward at Epoch 111. Obs: -0.992, Exp: -9.0
Test Mazes results: [0, 0, 0]
Evaluation Reward at Epoch 112. Obs: -0.992, Exp: -8.8
Evaluation Reward at Epoch 113. Obs: -0.989, Exp: -9.1
Evaluation Reward at Epoch 114. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 115. Obs: -0.989, Exp: -9.0
Evaluation Reward at Epoch 116. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 117. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 118. Obs: -0.989, Exp: -17.3
Evaluation Reward at Epoch 119. Obs: -0.992, Exp: -17.5
Evaluation Reward at Epoch 120. Obs: -0.989, Exp: -17.3
Evaluation Reward at Epoch 121. Obs: -0.989, Exp: -17.0
Test Mazes results: [0, 0, 0]
Evaluation Reward at Epoch 122. Obs: -0.989, Exp: -17.2
Evaluation Reward at Epoch 123. Obs: -0.992, Exp: -17.7
Evaluation Reward at Epoch 124. Obs: -0.992, Exp: -17.2
Evaluation Reward at Epoch 125. Obs: -0.992, Exp: -17.6
Evaluation Reward at Epoch 126. Obs: -0.989, Exp: -17.4
Evaluation Reward at Epoch 127. Obs: -0.989, Exp: -17.1
Evaluation Reward at Epoch 128. Obs: -0.989, Exp: -17.4
Evaluation Reward at Epoch 129. Obs: -0.992, Exp: -17.5
Evaluation Reward at Epoch 130. Obs: -0.992, Exp: -17.3
Evaluation Reward at Epoch 131. Obs: -0.992, Exp: -17.6
Test Mazes results: [0, 0, 0]
Evaluation Reward at Epoch 132. Obs: -0.989, Exp: -17.3
Evaluation Reward at Epoch 133. Obs: -0.992, Exp: -17.6
Evaluation Reward at Epoch 134. Obs: -0.989, Exp: -9.0
Evaluation Reward at Epoch 135. Obs: -0.992, Exp: -17.7
Evaluation Reward at Epoch 136. Obs: -0.992, Exp: -17.6
Evaluation Reward at Epoch 137. Obs: -0.989, Exp: -17.5
Evaluation Reward at Epoch 138. Obs: -0.992, Exp: -17.6
Evaluation Reward at Epoch 139. Obs: -0.989, Exp: -17.4
Evaluation Reward at Epoch 140. Obs: -0.989, Exp: -17.3
Evaluation Reward at Epoch 141. Obs: -0.989, Exp: -17.5
Test Mazes results: [0, 0, 0]
Evaluation Reward at Epoch 142. Obs: -0.992, Exp: -17.6
Evaluation Reward at Epoch 143. Obs: -0.992, Exp: -17.7
Evaluation Reward at Epoch 144. Obs: -0.989, Exp: -17.6
Evaluation Reward at Epoch 145. Obs: -0.992, Exp: -17.7
Evaluation Reward at Epoch 146. Obs: -0.992, Exp: -17.6
Evaluation Reward at Epoch 147. Obs: -0.992, Exp: -17.6
Evaluation Reward at Epoch 148. Obs: -0.989, Exp: -17.7
Evaluation Reward at Epoch 149. Obs: -0.989, Exp: -17.7
Evaluation Reward at Epoch 150. Obs: -0.992, Exp: -17.4
Evaluation Reward at Epoch 151. Obs: -0.992, Exp: -17.7
Test Mazes results: [0, 0, 0]
